,Distribution,Attack Type,Framework,1,2,3,4,5,6,7,8,9
25,Non-IID,Gaussian Noise Attack,Majority Vote,65.10999798774719,61.4300012588501,52.67999768257141,51.62000060081482,59.24999713897705,54.14999723434448,57.89999961853027,52.17999815940857,42.12000072002411
26,IID,Label Flip Attack,Majority Vote,73.19999933242798,69.2799985408783,67.76000261306763,62.139999866485596,37.619999051094055,7.800000160932541,7.590000331401825,5.689999833703041,4.3699998408555984
27,Non-IID,Label Flip Attack,Majority Vote,65.64000248908997,62.51000165939331,58.96000266075134,43.6599999666214,31.940001249313354,18.449999392032623,12.409999966621399,7.599999755620956,5.4499998688697815
28,IID,Pixel Backdoor Attack,Majority Vote,74.8199999332428,73.25000166893005,69.4599986076355,66.82999730110168,33.18000137805939,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612
29,Non-IID,Pixel Backdoor Attack,Majority Vote,65.45000076293945,60.4200005531311,57.88999795913696,30.419999361038208,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612,10.000000149011612
30,IID,Model Replacement Attack,Majority Vote,75.95999836921692,75.3000020980835,75.8400022983551,75.8400022983551,75.77000260353088,75.95999836921692,76.0699987411499,75.95000267028809,76.13000273704529
31,Non-IID,Model Replacement Attack,Majority Vote,70.4200029373169,71.10999822616577,69.48000192642212,71.61999940872192,71.670001745224,71.92000150680542,73.47999811172485,73.4000027179718,74.08000230789185
32,IID,Gaussian Noise Attack,FedSIGN,74.65999722480774,74.51000213623047,72.97000288963318,71.7199981212616,70.3499972820282,68.52999925613403,65.99000096321106,62.05000281333923,54.680001735687256
33,Non-IID,Gaussian Noise Attack,FedSIGN,71.96000218391418,70.7099974155426,68.66000294685364,66.07999801635742,66.82999730110168,62.65000104904175,55.239999294281006,54.979997873306274,41.72999858856201
34,IID,Label Flip Attack,FedSIGN,75.60999989509583,74.19000267982483,73.21000099182129,72.50000238418579,70.71999907493591,68.83000135421753,65.53000211715698,62.0199978351593,55.080002546310425
35,Non-IID,Label Flip Attack,FedSIGN,72.54999876022339,64.03999924659729,64.50999975204468,26.94000005722046,7.280000299215317,14.360000193119049,12.070000171661377,6.1400000005960464,6.6200003027915955
36,IID,Pixel Backdoor Attack,FedSIGN,75.3600001335144,74.32000041007996,73.4000027179718,72.10999727249146,70.71999907493591,68.83000135421753,66.07000231742859,61.91999912261963,55.070000886917114
37,Non-IID,Pixel Backdoor Attack,FedSIGN,73.01999926567078,71.71000242233276,71.53000235557556,68.01000237464905,64.35999870300293,65.32999873161316,59.460002183914185,44.850000739097595,43.00000071525574
38,IID,Model Replacement Attack,FedSIGN,75.95999836921692,73.7600028514862,74.43000078201294,73.29999804496765,72.7400004863739,71.60000205039978,71.63000106811523,70.45999765396118,68.98000240325928
39,Non-IID,Model Replacement Attack,FedSIGN,71.43999934196472,67.76000261306763,64.21999931335449,62.27999925613403,64.6399974822998,66.68999791145325,65.81000089645386,65.04999995231628,63.520002365112305
